S 648954,4 miss eviction 
L 605724,4 hit 
S 648a54,4 miss eviction 
L 605728,4 hit 
S 648b54,4 miss eviction 
L 60572c,4 hit 
S 648c54,4 miss eviction 
L 605730,4 hit 
S 648d54,4 miss eviction 
L 605734,4 hit 
S 648e54,4 miss eviction 
L 605738,4 hit 
S 648f54,4 miss eviction 
L 60573c,4 hit 
S 649054,4 miss eviction 
L 605740,4 miss eviction 
S 645158,4 miss eviction 
L 605744,4 hit 
S 645258,4 miss eviction 
L 605748,4 hit 
S 645358,4 miss eviction 
L 60574c,4 miss eviction 
S 645458,4 miss eviction 
L 605750,4 hit 
S 645558,4 miss eviction 
L 605754,4 hit 
S 645658,4 miss eviction 
L 605758,4 hit 
S 645758,4 miss eviction 
L 60575c,4 miss eviction 
S 645858,4 miss eviction 
L 605760,4 miss eviction 
S 645958,4 miss eviction 
L 605764,4 hit 
S 645a58,4 miss eviction 
L 605768,4 hit 
S 645b58,4 miss eviction 
L 60576c,4 hit 
S 645c58,4 miss eviction 
L 605770,4 hit 
S 645d58,4 miss eviction 
L 605774,4 hit 
S 645e58,4 miss eviction 
L 605778,4 hit 
S 645f58,4 miss eviction 
L 60577c,4 hit 
S 646058,4 miss eviction 
L 605780,4 miss eviction 
S 646158,4 miss eviction 
L 605784,4 hit 
S 646258,4 miss eviction 
L 605788,4 hit 
S 646358,4 miss eviction 
L 60578c,4 hit 
S 646458,4 miss eviction 
L 605790,4 hit 
S 646558,4 miss eviction 
L 605794,4 hit 
S 646658,4 miss eviction 
L 605798,4 hit 
S 646758,4 miss eviction 
L 60579c,4 hit 
S 646858,4 miss eviction 
L 6057a0,4 miss eviction 
S 646958,4 miss eviction 
L 6057a4,4 hit 
S 646a58,4 miss eviction 
L 6057a8,4 hit 
S 646b58,4 miss eviction 
L 6057ac,4 hit 
S 646c58,4 miss eviction 
L 6057b0,4 hit 
S 646d58,4 miss eviction 
L 6057b4,4 hit 
S 646e58,4 miss eviction 
L 6057b8,4 hit 
S 646f58,4 miss eviction 
L 6057bc,4 hit 
S 647058,4 miss eviction 
L 6057c0,4 miss eviction 
S 647158,4 miss eviction 
L 6057c4,4 hit 
S 647258,4 miss eviction 
L 6057c8,4 hit 
S 647358,4 miss eviction 
L 6057cc,4 hit 
S 647458,4 miss eviction 
L 6057d0,4 hit 
S 647558,4 miss eviction 
L 6057d4,4 hit 
S 647658,4 miss eviction 
L 6057d8,4 hit 
S 647758,4 miss eviction 
L 6057dc,4 hit 
S 647858,4 miss eviction 
L 6057e0,4 miss eviction 
S 647958,4 miss eviction 
L 6057e4,4 hit 
S 647a58,4 miss eviction 
L 6057e8,4 hit 
S 647b58,4 miss eviction 
L 6057ec,4 hit 
S 647c58,4 miss eviction 
L 6057f0,4 hit 
S 647d58,4 miss eviction 
L 6057f4,4 hit 
S 647e58,4 miss eviction 
L 6057f8,4 hit 
S 647f58,4 miss eviction 
L 6057fc,4 hit 
S 648058,4 miss eviction 
L 605800,4 miss eviction 
S 648158,4 miss eviction 
L 605804,4 hit 
S 648258,4 miss eviction 
L 605808,4 hit 
S 648358,4 miss eviction 
L 60580c,4 hit 
S 648458,4 miss eviction 
L 605810,4 hit 
S 648558,4 miss eviction 
L 605814,4 hit 
S 648658,4 miss eviction 
L 605818,4 hit 
S 648758,4 miss eviction 
L 60581c,4 hit 
S 648858,4 miss eviction 
L 605820,4 miss eviction 
S 648958,4 miss eviction 
L 605824,4 hit 
S 648a58,4 miss eviction 
L 605828,4 hit 
S 648b58,4 miss eviction 
L 60582c,4 hit 
S 648c58,4 miss eviction 
L 605830,4 hit 
S 648d58,4 miss eviction 
L 605834,4 hit 
S 648e58,4 miss eviction 
L 605838,4 hit 
S 648f58,4 miss eviction 
L 60583c,4 hit 
S 649058,4 miss eviction 
L 605840,4 miss eviction 
S 64515c,4 miss eviction 
L 605844,4 hit 
S 64525c,4 miss eviction 
L 605848,4 hit 
S 64535c,4 miss eviction 
L 60584c,4 hit 
S 64545c,4 miss eviction 
L 605850,4 miss eviction 
S 64555c,4 miss eviction 
L 605854,4 hit 
S 64565c,4 miss eviction 
L 605858,4 hit 
S 64575c,4 miss eviction 
L 60585c,4 hit 
S 64585c,4 miss eviction 
L 605860,4 miss eviction 
S 64595c,4 miss eviction 
L 605864,4 hit 
S 645a5c,4 miss eviction 
L 605868,4 hit 
S 645b5c,4 miss eviction 
L 60586c,4 hit 
S 645c5c,4 miss eviction 
L 605870,4 hit 
S 645d5c,4 miss eviction 
L 605874,4 hit 
S 645e5c,4 miss eviction 
L 605878,4 hit 
S 645f5c,4 miss eviction 
L 60587c,4 hit 
S 64605c,4 miss eviction 
L 605880,4 miss eviction 
S 64615c,4 miss eviction 
L 605884,4 hit 
S 64625c,4 miss eviction 
L 605888,4 hit 
S 64635c,4 miss eviction 
L 60588c,4 hit 
S 64645c,4 miss eviction 
L 605890,4 hit 
S 64655c,4 miss eviction 
L 605894,4 hit 
S 64665c,4 miss eviction 
L 605898,4 hit 
S 64675c,4 miss eviction 
L 60589c,4 hit 
S 64685c,4 miss eviction 
L 6058a0,4 miss eviction 
S 64695c,4 miss eviction 
L 6058a4,4 hit 
S 646a5c,4 miss eviction 
L 6058a8,4 hit 
S 646b5c,4 miss eviction 
L 6058ac,4 hit 
S 646c5c,4 miss eviction 
L 6058b0,4 hit 
S 646d5c,4 miss eviction 
L 6058b4,4 hit 
S 646e5c,4 miss eviction 
L 6058b8,4 hit 
S 646f5c,4 miss eviction 
L 6058bc,4 hit 
S 64705c,4 miss eviction 
L 6058c0,4 miss eviction 
S 64715c,4 miss eviction 
L 6058c4,4 hit 
S 64725c,4 miss eviction 
L 6058c8,4 hit 
S 64735c,4 miss eviction 
L 6058cc,4 hit 
S 64745c,4 miss eviction 
L 6058d0,4 hit 
S 64755c,4 miss eviction 
L 6058d4,4 hit 
S 64765c,4 miss eviction 
L 6058d8,4 hit 
S 64775c,4 miss eviction 
L 6058dc,4 hit 
S 64785c,4 miss eviction 
L 6058e0,4 miss eviction 
S 64795c,4 miss eviction 
L 6058e4,4 hit 
S 647a5c,4 miss eviction 
L 6058e8,4 hit 
S 647b5c,4 miss eviction 
L 6058ec,4 hit 
S 647c5c,4 miss eviction 
L 6058f0,4 hit 
S 647d5c,4 miss eviction 
L 6058f4,4 hit 
S 647e5c,4 miss eviction 
L 6058f8,4 hit 
S 647f5c,4 miss eviction 
L 6058fc,4 hit 
S 64805c,4 miss eviction 
L 605900,4 miss eviction 
S 64815c,4 miss eviction 
L 605904,4 hit 
S 64825c,4 miss eviction 
L 605908,4 hit 
S 64835c,4 miss eviction 
L 60590c,4 hit 
S 64845c,4 miss eviction 
L 605910,4 hit 
S 64855c,4 miss eviction 
L 605914,4 hit 
S 64865c,4 miss eviction 
L 605918,4 hit 
S 64875c,4 miss eviction 
L 60591c,4 hit 
S 64885c,4 miss eviction 
L 605920,4 miss eviction 
S 64895c,4 miss eviction 
L 605924,4 hit 
S 648a5c,4 miss eviction 
L 605928,4 hit 
S 648b5c,4 miss eviction 
L 60592c,4 hit 
S 648c5c,4 miss eviction 
L 605930,4 hit 
S 648d5c,4 miss eviction 
L 605934,4 hit 
S 648e5c,4 miss eviction 
L 605938,4 hit 
S 648f5c,4 miss eviction 
L 60593c,4 hit 
S 64905c,4 miss eviction 
L 605940,4 miss eviction 
S 645160,4 miss eviction 
L 605944,4 hit 
S 645260,4 miss eviction 
L 605948,4 hit 
S 645360,4 miss eviction 
L 60594c,4 hit 
S 645460,4 miss eviction 
L 605950,4 hit 
S 645560,4 miss eviction 
L 605954,4 hit 
S 645660,4 miss eviction 
L 605958,4 hit 
S 645760,4 miss eviction 
L 60595c,4 hit 
S 645860,4 miss eviction 
L 605960,4 miss eviction 
